Timestamp,What time did you go to bed?,How long do you think it took you to fall asleep?,How many times did you wake up?,What time did you wake up for the day?,How alert did you feel upon waking up?,How many times did you hit 'snooze' before starting your tests?
11/14/2012 8:25:39,245,10,2,830,4,1
11/15/2012 9:50:54,45,5,4,930,6,0
11/16/2012 10:21:29,230,10,3,1030,4,0
11/17/2012 19:19:30,300,20,10,1100,4,0
11/18/2012 13:20:32,200,10,5,1115,6,0
11/19/2012 10:29:26,245,10,4,1030,5,0
11/20/2012 8:58:19,230,10,3,900,5,0
11/21/2012 9:06:07,200,15,1,810,5,1
11/22/2012 15:49:43,230,10,2,11,6,0
11/23/2012 9:45:32,130,10,4,45,6,0
11/25/2012 10:49:36,1215,5,3,11,5,0
11/26/2012 9:36:40,230,10,2,930,4,0
11/27/2012 9:18:39,230,10,2,930,6,0
11/28/2012 10:05:19,300,10,5,930,6,1
11/29/2012 10:32:23,400,5,4,1000,4,1
11/30/2012 8:45:30,200,5,3,900,4,0
12/1/2012 11:05:07,130,5,2,1100,5,0
12/2/2012 10:25:02,200,10,1,1015,6,1
12/3/2012 12:04:24,320,10,2,1030,6,0
12/4/2012 9:12:16,330,15,0,915,4,1
12/5/2012 9:45:37,215,10,1,945,5,1
12/6/2012 8:49:05,145,10,0,845,6,0
12/7/2012 10:09:51,115,10,2,1000,4,0
12/8/2012 11:01:41,300,10,3,1100,5,1
12/9/2012 12:22:44,420,10,2,1215,5,0
12/10/2012 10:29:56,230,20,3,1000,6,0
12/11/2012 10:38:35,230,15,2,1030,4,0
12/14/2012 11:25:41,300,10,1,1130,6,0
12/15/2012 12:09:25,430,20,2,1130,6,0
12/16/2012 12:09:16,400,10,2,1200,7,1
12/17/2012 10:03:44,300,10,2,1000,5,1
12/18/2012 10:13:04,145,10,3,1000,5,0
12/20/2012 11:56:21,325,10,3,11:50:00,6,0
12/22/2012 11:14:32,230,10,3,1100,5,0
12/23/2012 11:58:12,400,15,2,1200,6,0
12/25/2012 10:43:24,245,10,2,1045,6,0
12/26/2012 11:21:07,245,10,2,1115,5,0
12/27/2012 10:41:56,300,10,1,1030,6,0
12/28/2012 11:43:08,245,5,2,1145,6,0
1/13/2013 9:53:33,145,5,1,15,5,0
1/15/2013 8:03:10,22,5,2,800,5,0
1/16/2013 7:50:50,130,5,1,730,5,0
1/17/2013 7:54:20,100,5,3,740,5,1
1/18/2013 8:00:10,130,5,2,800,5,0
1/19/2013 10:27:53,220,5,3,1015,6,0
1/21/2013 8:01:45,100,5,0,800,5,0
1/22/2013 8:00:41,1230,5,2,800,5,0
1/23/2013 7:48:22,100,10,2,745,5,0
1/24/2013 7:46:55,1245,5,2,745,5,0
1/25/2013 7:53:44,120,5,3,750,4,0
1/26/2013 11:10:09,230,10,5,1100,5,0
1/27/2013 10:46:18,215,15,4,1045,5,0
1/28/2013 8:02:11,115,15,3,800,5,0
1/30/2013 8:06:47,1245,10,3,800,6,1
2/1/2013 8:24:19,100,10,2,800,5,0
2/3/2013 8:29:37,100,10,3,830,5,1
2/5/2013 7:46:17,1145,5,3,745,5,0
2/6/2013 8:04:11,230,10,2,800,4,1
2/9/2013 10:18:41,1130,10,3,1015,6,0
2/12/2013 7:36:18,30,10,3,730,4,1
2/14/2013 7:46:39,100,10,2,745,6,0
2/15/2013 8:05:27,1230,10,3,800,6,1
2/16/2013 9:47:55,200,5,2,930,6,0
2/19/2013 8:52:19,140,10,3,845,6,0
2/20/2013 8:16:59,100,15,3,810,4,2
2/21/2013 7:50:53,115,10,2,745,4,0
2/22/2013 8:28:34,230,10,0,830,4,0
2/24/2013 10:17:48,145,5,2,1015,5,0
2/25/2013 8:06:12,115,5,2,815,6,1
2/26/2013 8:16:48,1230,5,3,815,5,0
2/27/2013 8:10:14,100,5,2,810,5,0
